Timestamp	Longitude	Latitude	Fix Quality
2022/11/22 16:55:30	1.3452	52.3951	4
2022/11/22 16:55:31	1.3452	52.3951	4
2022/11/22 16:55:32	1.3452	52.3951	4
2022/11/22 16:55:33	1.3452	52.3951	4
2022/11/22 16:55:34	1.3452	52.3951	4
2022/11/22 16:55:35	1.3452	52.3951	4
2022/11/22 16:55:36	1.3452	52.3951	4
2022/11/22 16:55:37	1.3452	52.3951	4
2022/11/22 16:55:38	1.3452	52.3951	4
2022/11/22 16:55:39	1.3452	52.3951	4
2022/11/22 16:55:40	1.3452	52.3951	4
2022/11/22 16:55:41	1.3452	52.3951	4
2022/11/22 16:55:42	1.3452	52.3951	4
2022/11/22 16:55:43	1.3452	52.3951	4
2022/11/22 16:55:44	1.3452	52.3951	4
2022/11/22 16:55:45	1.3452	52.3951	4
2022/11/22 16:55:46	1.3452	52.3951	4
2022/11/22 16:55:47	1.3452	52.3951	4
